time	V(-1)	V(1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.929687488293547e-015	0.000000e+000	3.906250e-007
5.859374976587093e-015	0.000000e+000	7.812500e-007
6.862165151151572e-012	0.000000e+000	9.149554e-004
1.371847092732656e-011	0.000000e+000	1.829129e-003
2.057477670350154e-011	0.000000e+000	2.743304e-003
2.743108247967653e-011	0.000000e+000	3.657478e-003
3.428738825585152e-011	0.000000e+000	4.571652e-003
4.114369403202650e-011	0.000000e+000	5.485826e-003
4.799999980820147e-011	0.000000e+000	6.400000e-003
9.599999961640293e-011	0.000000e+000	1.280000e-002
1.405262344329126e-010	0.000000e+000	1.873683e-002
1.785059116298708e-010	0.000000e+000	2.380079e-002
2.136788455617211e-010	0.000000e+000	2.849051e-002
2.527557424724231e-010	0.000000e+000	3.370076e-002
2.933345759765085e-010	0.000000e+000	3.911128e-002
3.430691828226491e-010	0.000000e+000	4.574256e-002
3.984225591551467e-010	0.000000e+000	5.312301e-002
4.652177047774925e-010	0.000000e+000	6.202903e-002
5.410583380817362e-010	0.000000e+000	7.214111e-002
6.315786877276929e-010	0.000000e+000	8.421049e-002
7.091269117124042e-010	0.000000e+000	9.455025e-002
7.847220122059452e-010	0.000000e+000	1.046296e-001
8.661217263367356e-010	0.000000e+000	1.154829e-001
9.546936759995205e-010	0.000000e+000	1.272925e-001
1.052790516676659e-009	0.000000e+000	1.403721e-001
1.160799101946564e-009	0.000000e+000	1.547732e-001
1.280738081661964e-009	0.000000e+000	1.707651e-001
1.413498624721887e-009	0.000000e+000	1.884665e-001
1.533162657991335e-009	0.000000e+000	2.044217e-001
1.651207382551157e-009	0.000000e+000	2.201610e-001
1.778437817313175e-009	0.000000e+000	2.371250e-001
1.913227716743336e-009	0.000000e+000	2.550970e-001
2.060435016874990e-009	0.000000e+000	2.747247e-001
2.218522987712806e-009	0.000000e+000	2.958031e-001
2.359634470958143e-009	0.000000e+000	3.146179e-001
2.507589179811450e-009	0.000000e+000	3.343452e-001
2.659730413391205e-009	0.000000e+000	3.546307e-001
2.824137567500453e-009	0.000000e+000	3.765517e-001
2.997250482815756e-009	0.000000e+000	3.996334e-001
3.184406470073660e-009	0.000000e+000	4.245875e-001
3.355800880419798e-009	0.000000e+000	4.474401e-001
3.531881182923903e-009	0.000000e+000	4.709175e-001
3.714135767029218e-009	0.000000e+000	4.952181e-001
3.907768123884371e-009	0.000000e+000	5.210357e-001
4.111847064043411e-009	0.000000e+000	5.482463e-001
4.319496568197997e-009	0.000000e+000	5.759329e-001
4.507673618742228e-009	0.000000e+000	6.010231e-001
4.718423381749337e-009	0.000000e+000	6.291231e-001
4.926307868349820e-009	0.000000e+000	6.568410e-001
5.155929559347762e-009	0.000000e+000	6.874573e-001
5.373443570145619e-009	0.000000e+000	7.164592e-001
5.588346700420950e-009	0.000000e+000	7.451129e-001
5.814190418954913e-009	0.000000e+000	7.752254e-001
6.047413066063950e-009	0.000000e+000	8.063217e-001
6.265236679570395e-009	0.000000e+000	8.353649e-001
6.504175623831078e-009	0.000000e+000	8.672234e-001
6.730766896625684e-009	0.000000e+000	8.974356e-001
6.981652121198541e-009	0.000000e+000	9.308869e-001
7.231214893620990e-009	0.000000e+000	9.641620e-001
7.264262920500520e-009	0.000000e+000	9.685684e-001
7.330358974259580e-009	0.000000e+000	9.773812e-001
7.367807892481879e-009	0.000000e+000	9.823744e-001
7.425102163555401e-009	0.000000e+000	9.900136e-001
7.499999999999999e-009	0.000000e+000	1.000000e+000
7.507489783644459e-009	0.000000e+000	1.000000e+000
7.522469350933378e-009	0.000000e+000	1.000000e+000
7.552428485511218e-009	0.000000e+000	1.000000e+000
7.612346754666896e-009	0.000000e+000	1.000000e+000
7.732183292978252e-009	0.000000e+000	1.000000e+000
7.971856369600966e-009	0.000000e+000	1.000000e+000
8.205457041848764e-009	0.000000e+000	1.000000e+000
8.439765899353689e-009	0.000000e+000	1.000000e+000
8.714109066734493e-009	0.000000e+000	1.000000e+000
8.963849425791099e-009	0.000000e+000	1.000000e+000
9.249470070665510e-009	0.000000e+000	1.000000e+000
9.524979631448530e-009	0.000000e+000	1.000000e+000
9.817948381448530e-009	0.000000e+000	1.000000e+000
1.008574524311839e-008	0.000000e+000	1.000000e+000
1.037871399311839e-008	0.000000e+000	1.000000e+000
1.067113056582232e-008	0.000000e+000	1.000000e+000
1.096409931582232e-008	0.000000e+000	1.000000e+000
1.125174146713749e-008	0.000000e+000	1.000000e+000
1.154471021713749e-008	0.000000e+000	1.000000e+000
1.183767896713749e-008	0.000000e+000	1.000000e+000
1.213064771713749e-008	0.000000e+000	1.000000e+000
1.242361646713749e-008	0.000000e+000	1.000000e+000
1.271658521713749e-008	0.000000e+000	1.000000e+000
1.300955396713749e-008	0.000000e+000	1.000000e+000
1.330252271713749e-008	0.000000e+000	1.000000e+000
1.359549146713749e-008	0.000000e+000	1.000000e+000
1.388846021713749e-008	0.000000e+000	1.000000e+000
1.418142896713749e-008	0.000000e+000	1.000000e+000
1.447439771713749e-008	0.000000e+000	1.000000e+000
1.476736646713749e-008	0.000000e+000	1.000000e+000
1.506033521713749e-008	0.000000e+000	1.000000e+000
1.535330396713749e-008	0.000000e+000	1.000000e+000
1.564627271713749e-008	0.000000e+000	1.000000e+000
1.593924146713749e-008	0.000000e+000	1.000000e+000
1.623221021713749e-008	0.000000e+000	1.000000e+000
1.652517896713749e-008	0.000000e+000	1.000000e+000
1.681814771713749e-008	0.000000e+000	1.000000e+000
1.711111646713749e-008	0.000000e+000	1.000000e+000
1.740408521713749e-008	0.000000e+000	1.000000e+000
1.769705396713749e-008	0.000000e+000	1.000000e+000
1.799002271713750e-008	0.000000e+000	1.000000e+000
1.828299146713750e-008	0.000000e+000	1.000000e+000
1.857596021713750e-008	0.000000e+000	1.000000e+000
1.886892896713750e-008	0.000000e+000	1.000000e+000
1.916189771713750e-008	0.000000e+000	1.000000e+000
1.945486646713750e-008	0.000000e+000	1.000000e+000
1.974783521713750e-008	0.000000e+000	1.000000e+000
2.004080396713750e-008	0.000000e+000	1.000000e+000
2.033377271713750e-008	0.000000e+000	1.000000e+000
2.062674146713750e-008	0.000000e+000	1.000000e+000
2.091971021713750e-008	0.000000e+000	1.000000e+000
2.121267896713750e-008	0.000000e+000	1.000000e+000
2.150564771713750e-008	0.000000e+000	1.000000e+000
2.179861646713750e-008	0.000000e+000	1.000000e+000
2.209158521713750e-008	0.000000e+000	1.000000e+000
2.238455396713750e-008	0.000000e+000	1.000000e+000
2.267752271713750e-008	0.000000e+000	1.000000e+000
2.297049146713750e-008	0.000000e+000	1.000000e+000
2.326346021713750e-008	0.000000e+000	1.000000e+000
2.355642896713750e-008	0.000000e+000	1.000000e+000
2.384939771713751e-008	0.000000e+000	1.000000e+000
2.414236646713751e-008	0.000000e+000	1.000000e+000
2.443533521713751e-008	0.000000e+000	1.000000e+000
2.472830396713751e-008	0.000000e+000	1.000000e+000
2.502127271713751e-008	0.000000e+000	1.000000e+000
2.531424146713751e-008	0.000000e+000	1.000000e+000
2.560721021713751e-008	0.000000e+000	1.000000e+000
2.590017896713751e-008	0.000000e+000	1.000000e+000
2.619314771713751e-008	0.000000e+000	1.000000e+000
2.648611646713751e-008	0.000000e+000	1.000000e+000
2.677908521713751e-008	0.000000e+000	1.000000e+000
2.707205396713751e-008	0.000000e+000	1.000000e+000
2.736502271713751e-008	0.000000e+000	1.000000e+000
2.765799146713751e-008	0.000000e+000	1.000000e+000
2.795096021713751e-008	0.000000e+000	1.000000e+000
2.824392896713751e-008	0.000000e+000	1.000000e+000
2.853689771713751e-008	0.000000e+000	1.000000e+000
2.882986646713751e-008	0.000000e+000	1.000000e+000
2.912283521713751e-008	0.000000e+000	1.000000e+000
2.941580396713751e-008	0.000000e+000	1.000000e+000
2.970877271713752e-008	0.000000e+000	1.000000e+000
3.000174146713751e-008	0.000000e+000	1.000000e+000
3.029471021713751e-008	1.401298e-045	1.000000e+000
3.058767896713751e-008	4.203895e-045	1.000000e+000
3.088064771713751e-008	1.121039e-044	1.000000e+000
3.117361646713751e-008	3.082857e-044	1.000000e+000
3.146658521713752e-008	8.267661e-044	1.000000e+000
3.175955396713752e-008	2.172013e-043	1.000000e+000
3.205252271713752e-008	5.689272e-043	1.000000e+000
3.234549146713752e-008	1.474166e-042	1.000000e+000
3.263846021713752e-008	3.787710e-042	1.000000e+000
3.293142896713752e-008	9.653545e-042	1.000000e+000
3.322439771713752e-008	2.440642e-041	1.000000e+000
3.351736646713752e-008	6.121432e-041	1.000000e+000
3.381033521713752e-008	1.523310e-040	1.000000e+000
3.410330396713752e-008	3.761491e-040	1.000000e+000
3.439627271713752e-008	9.217349e-040	1.000000e+000
3.468924146713752e-008	2.241654e-039	1.000000e+000
3.498221021713752e-008	5.411149e-039	1.000000e+000
3.527517896713752e-008	1.296609e-038	1.000000e+000
3.556814771713752e-008	3.084375e-038	1.000000e+000
3.586111646713752e-008	7.284542e-038	1.000000e+000
3.615408521713752e-008	1.708253e-037	1.000000e+000
3.644705396713752e-008	3.977900e-037	1.000000e+000
3.674002271713752e-008	9.199063e-037	1.000000e+000
3.703299146713752e-008	2.112793e-036	1.000000e+000
3.732596021713753e-008	4.819792e-036	1.000000e+000
3.761892896713753e-008	1.092174e-035	1.000000e+000
3.791189771713753e-008	2.458561e-035	1.000000e+000
3.820486646713753e-008	5.498295e-035	1.000000e+000
3.849783521713753e-008	1.221701e-034	1.000000e+000
3.879080396713753e-008	2.697263e-034	1.000000e+000
3.908377271713753e-008	5.917433e-034	1.000000e+000
3.937674146713753e-008	1.290106e-033	1.000000e+000
