time	V(-1)	V(1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
5.859374976587093e-015	0.000000e+000	7.812500e-007
1.171874995317419e-014	0.000000e+000	1.562500e-006
6.867187472560075e-012	0.000000e+000	9.156249e-004
1.372265619516698e-011	0.000000e+000	1.829687e-003
2.057812491777388e-011	0.000000e+000	2.743750e-003
2.743359364038078e-011	0.000000e+000	3.657812e-003
3.428906236298768e-011	0.000000e+000	4.571875e-003
4.114453108559458e-011	0.000000e+000	5.485937e-003
4.799999980820147e-011	0.000000e+000	6.400000e-003
9.599999961640293e-011	0.000000e+000	1.280000e-002
1.416034087590078e-010	0.000000e+000	1.888045e-002
1.815403593001088e-010	0.000000e+000	2.420538e-002
2.190026546289361e-010	0.000000e+000	2.920035e-002
2.586466042569689e-010	0.000000e+000	3.448622e-002
3.006377458240546e-010	0.000000e+000	4.008503e-002
3.511046219404163e-010	0.000000e+000	4.681395e-002
4.080790726330178e-010	0.000000e+000	5.441054e-002
4.760207821450541e-010	0.000000e+000	6.346944e-002
5.537958506954608e-010	0.000000e+000	7.383945e-002
6.458975588827832e-010	0.000000e+000	8.611967e-002
7.374197851690013e-010	0.000000e+000	9.832264e-002
8.168415263880253e-010	0.000000e+000	1.089122e-001
9.088948691658418e-010	0.000000e+000	1.211860e-001
9.981704477371823e-010	0.000000e+000	1.330894e-001
1.104339812034995e-009	0.000000e+000	1.472453e-001
1.214303820346752e-009	0.000000e+000	1.619072e-001
1.342025803313599e-009	0.000000e+000	1.789368e-001
1.478149919568662e-009	0.000000e+000	1.970867e-001
1.591932257627263e-009	0.000000e+000	2.122576e-001
1.714507090304114e-009	0.000000e+000	2.286009e-001
1.843013590646631e-009	0.000000e+000	2.457351e-001
1.983479606287156e-009	0.000000e+000	2.644640e-001
2.133245570297284e-009	0.000000e+000	2.844327e-001
2.296738746600317e-009	0.000000e+000	3.062318e-001
2.472540205235498e-009	0.000000e+000	3.296720e-001
2.639352310903055e-009	0.000000e+000	3.519136e-001
2.799650328476662e-009	0.000000e+000	3.732867e-001
2.973939558806788e-009	0.000000e+000	3.965253e-001
3.153647139371360e-009	0.000000e+000	4.204863e-001
3.349688352990697e-009	0.000000e+000	4.466251e-001
3.532193930216356e-009	0.000000e+000	4.709592e-001
3.731606013414661e-009	0.000000e+000	4.975475e-001
3.915958174919635e-009	0.000000e+000	5.221277e-001
4.125323571526233e-009	0.000000e+000	5.500432e-001
4.332839628979021e-009	0.000000e+000	5.777119e-001
4.563795796661812e-009	0.000000e+000	6.085061e-001
4.787696458367384e-009	0.000000e+000	6.383595e-001
4.999098146095328e-009	0.000000e+000	6.665464e-001
5.228353659748176e-009	0.000000e+000	6.971138e-001
5.460014837738650e-009	0.000000e+000	7.280020e-001
5.710859410071336e-009	0.000000e+000	7.614479e-001
5.957676417928422e-009	0.000000e+000	7.943569e-001
