time	V(-1)	V(1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
5.859374976587093e-015	0.000000e+000	7.812500e-007
1.171874995317419e-014	0.000000e+000	1.562500e-006
6.867187472560075e-012	0.000000e+000	9.156249e-004
1.372265619516698e-011	0.000000e+000	1.829687e-003
2.057812491777388e-011	0.000000e+000	2.743750e-003
2.743359364038078e-011	0.000000e+000	3.657812e-003
3.428906236298768e-011	0.000000e+000	4.571875e-003
4.114453108559458e-011	0.000000e+000	5.485937e-003
4.799999980820147e-011	0.000000e+000	6.400000e-003
9.599999961640293e-011	0.000000e+000	1.280000e-002
1.424853462540462e-010	0.000000e+000	1.899805e-002
1.840883150638608e-010	0.000000e+000	2.454511e-002
2.235567937033056e-010	0.000000e+000	2.980757e-002
2.637021757149754e-010	0.000000e+000	3.516029e-002
3.090462910430822e-010	0.000000e+000	4.120617e-002
3.593252335689290e-010	0.000000e+000	4.791003e-002
4.191041231268771e-010	0.000000e+000	5.588055e-002
4.874260421606839e-010	0.000000e+000	6.499014e-002
5.682086713380188e-010	0.000000e+000	7.576115e-002
6.614021675055923e-010	0.000000e+000	8.818696e-002
7.712496034889150e-010	0.000000e+000	1.028333e-001
8.615582220960140e-010	0.000000e+000	1.148744e-001
9.625586652195732e-010	0.000000e+000	1.283412e-001
1.056961991433678e-009	0.000000e+000	1.409283e-001
1.170193641659177e-009	0.000000e+000	1.560258e-001
1.286083677563510e-009	0.000000e+000	1.714778e-001
1.421646367681983e-009	0.000000e+000	1.895528e-001
1.565096390841453e-009	0.000000e+000	2.086795e-001
1.691098114104751e-009	0.000000e+000	2.254798e-001
1.820433583284431e-009	0.000000e+000	2.427245e-001
1.958305872785509e-009	0.000000e+000	2.611074e-001
2.106077390278641e-009	0.000000e+000	2.808103e-001
2.265640617322931e-009	0.000000e+000	3.020854e-001
2.437790790774321e-009	0.000000e+000	3.250388e-001
2.624281854481938e-009	0.000000e+000	3.499042e-001
2.787098688833998e-009	0.000000e+000	3.716131e-001
2.962403964624694e-009	0.000000e+000	3.949872e-001
3.139273646535376e-009	0.000000e+000	4.185698e-001
3.333037269959343e-009	0.000000e+000	4.444050e-001
3.534453639397558e-009	0.000000e+000	4.712605e-001
3.753820083303354e-009	0.000000e+000	5.005093e-001
3.949936788419710e-009	0.000000e+000	5.266582e-001
4.157483286193523e-009	0.000000e+000	5.543311e-001
4.367702258960888e-009	0.000000e+000	5.823603e-001
4.594448886422464e-009	0.000000e+000	6.125932e-001
4.829905569216596e-009	0.000000e+000	6.439874e-001
5.050486935191422e-009	0.000000e+000	6.733983e-001
5.294527890861153e-009	0.000000e+000	7.059370e-001
5.520652374248504e-009	0.000000e+000	7.360870e-001
5.776205045617825e-009	0.000000e+000	7.701607e-001
6.028343388848359e-009	0.000000e+000	8.037791e-001
6.278631201143472e-009	0.000000e+000	8.371508e-001
