time	V(1)	V(3)
2.026740541030878e-008	1.000000e+000	1.001459e+000
2.046271791030878e-008	1.000000e+000	1.001531e+000
2.065803041030878e-008	1.000000e+000	1.001552e+000
2.085334291030878e-008	1.000000e+000	1.001528e+000
2.104865541030878e-008	1.000000e+000	1.001465e+000
2.124396791030878e-008	1.000000e+000	1.001370e+000
2.143928041030879e-008	1.000000e+000	1.001248e+000
2.163459291030879e-008	1.000000e+000	1.001103e+000
2.182990541030879e-008	1.000000e+000	1.000943e+000
2.202521791030879e-008	1.000000e+000	1.000771e+000
2.222053041030879e-008	1.000000e+000	1.000592e+000
2.241584291030879e-008	1.000000e+000	1.000410e+000
2.261115541030879e-008	1.000000e+000	1.000229e+000
2.280646791030880e-008	1.000000e+000	1.000051e+000
2.300178041030880e-008	1.000000e+000	9.998809e-001
2.319709291030880e-008	1.000000e+000	9.997193e-001
2.339240541030880e-008	1.000000e+000	9.995685e-001
2.358771791030880e-008	1.000000e+000	9.994299e-001
2.397834291030880e-008	1.000000e+000	9.991929e-001
2.436896791030881e-008	1.000000e+000	9.990124e-001
2.456428041030881e-008	1.000000e+000	9.989432e-001
2.475959291030881e-008	1.000000e+000	9.988875e-001
2.495490541030881e-008	1.000000e+000	9.988447e-001
2.515021791030881e-008	1.000000e+000	9.988140e-001
2.534553041030881e-008	1.000000e+000	9.987944e-001
2.554084291030882e-008	1.000000e+000	9.987850e-001
2.573615541030882e-008	1.000000e+000	9.987847e-001
2.593146791030882e-008	1.000000e+000	9.987924e-001
2.612678041030882e-008	1.000000e+000	9.988068e-001
2.632209291030882e-008	1.000000e+000	9.988271e-001
2.651740541030882e-008	1.000000e+000	9.988521e-001
2.671271791030883e-008	1.000000e+000	9.988807e-001
2.690803041030883e-008	1.000000e+000	9.989120e-001
2.710334291030883e-008	1.000000e+000	9.989452e-001
2.729865541030883e-008	1.000000e+000	9.989793e-001
2.749396791030883e-008	1.000000e+000	9.990136e-001
2.768928041030883e-008	1.000000e+000	9.990476e-001
2.788459291030883e-008	1.000000e+000	9.990805e-001
2.807990541030884e-008	1.000000e+000	9.991121e-001
2.827521791030884e-008	1.000000e+000	9.991418e-001
2.847053041030884e-008	1.000000e+000	9.991693e-001
2.886115541030884e-008	1.000000e+000	9.992171e-001
2.944709291030885e-008	1.000000e+000	9.992689e-001
2.964240541030885e-008	1.000000e+000	9.992809e-001
2.983771791030885e-008	1.000000e+000	9.992904e-001
3.003303041030885e-008	1.000000e+000	9.992975e-001
3.022834291030884e-008	1.000000e+000	9.993024e-001
3.042365541030884e-008	1.000000e+000	9.993052e-001
3.061896791030884e-008	1.000000e+000	9.993063e-001
