time	V(-1)	V(1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.109375042393330e-015	0.000000e+000	2.812500e-007
4.218750084786661e-015	0.000000e+000	5.625000e-007
4.940759027868722e-012	-4.254571e-042	6.587679e-004
9.877299305652657e-012	-3.782019e-042	1.316973e-003
1.481383958343659e-011	1.417656e-042	1.975179e-003
1.975037986122053e-011	1.134445e-041	2.633384e-003
2.468692013900446e-011	2.599838e-041	3.291589e-003
2.962346041678840e-011	4.537942e-041	3.949795e-003
3.456000069457232e-011	6.948759e-041	4.608000e-003
6.912000138914465e-011	4.422545e-038	9.216000e-003
1.119165928250955e-010	9.116579e-037	1.492221e-002
1.510802698867626e-010	8.440097e-036	2.014404e-002
1.871544265016759e-010	5.808450e-035	2.495392e-002
2.219798790322143e-010	5.506228e-034	2.959732e-002
2.646487976020230e-010	4.995703e-033	3.528650e-002
3.057090774861971e-010	6.366179e-032	4.076121e-002
3.589376111628644e-010	9.154405e-031	4.785835e-002
4.156570665694459e-010	1.801710e-029	5.542094e-002
4.865131260510887e-010	3.441115e-028	6.486842e-002
5.648941741820925e-010	8.074509e-027	7.531922e-002
6.604701683715711e-010	7.255986e-026	8.806269e-002
7.390076884768614e-010	4.408842e-025	9.853436e-002
8.254868542701367e-010	2.525899e-024	1.100649e-001
9.070461862464113e-010	1.423704e-023	1.209395e-001
1.004187878856087e-009	8.987059e-023	1.338917e-001
1.104271757463549e-009	5.829702e-022	1.472362e-001
1.220937842734147e-009	4.064753e-021	1.627917e-001
1.344998900266453e-009	1.990614e-020	1.793332e-001
1.449127308282955e-009	7.435101e-020	1.932170e-001
1.561616936450105e-009	2.962821e-019	2.082156e-001
1.678802937462459e-009	1.185310e-018	2.238404e-001
1.807446536674077e-009	4.948808e-018	2.409929e-001
1.944226341823620e-009	2.092858e-017	2.592302e-001
2.094031649804761e-009	9.156723e-017	2.792042e-001
2.254932729816312e-009	3.537230e-016	3.006577e-001
2.400286400928478e-009	1.126661e-015	3.200382e-001
2.550137534951113e-009	3.585521e-015	3.400183e-001
2.706021761371485e-009	1.139263e-014	3.608029e-001
2.873037979720177e-009	3.694141e-014	3.830717e-001
3.050275254859065e-009	1.112701e-013	4.067034e-001
3.207624451627608e-009	2.928126e-013	4.276833e-001
3.384069521640466e-009	8.112667e-013	4.512093e-001
3.552157059199822e-009	2.092941e-012	4.736210e-001
3.741630735304583e-009	5.746161e-012	4.988841e-001
3.931632838887444e-009	1.473698e-011	5.242177e-001
4.120802326270724e-009	3.672459e-011	5.494403e-001
4.325203051227173e-009	9.108374e-011	5.766937e-001
4.511475706396503e-009	2.055054e-010	6.015301e-001
4.722413206396503e-009	4.944551e-010	6.296551e-001
4.930106180522907e-009	1.116218e-009	6.573475e-001
5.141043680522907e-009	2.460945e-009	6.854725e-001
5.351981180522907e-009	5.233393e-009	7.135975e-001
5.562918680522907e-009	1.078070e-008	7.417225e-001
5.773856180522907e-009	2.156226e-008	7.698475e-001
5.984793680522907e-009	4.195702e-008	7.979725e-001
6.195731180522908e-009	7.957129e-008	8.260975e-001
6.406668680522908e-009	1.473134e-007	8.542225e-001
6.617606180522908e-009	2.666140e-007	8.823475e-001
6.828543680522908e-009	4.723206e-007	9.104725e-001
7.039481180522908e-009	8.199906e-007	9.385975e-001
7.250418680522908e-009	1.322893e-006	9.667225e-001
7.289062499999999e-009	1.446458e-006	9.718750e-001
7.366350138954181e-009	1.764432e-006	9.821800e-001
7.499999999999999e-009	2.397008e-006	1.000000e+000
7.513364986104581e-009	2.475829e-006	1.000000e+000
7.540094958313746e-009	2.640848e-006	1.000000e+000
7.593554902732072e-009	3.010554e-006	1.000000e+000
7.700474791568727e-009	3.949999e-006	1.000000e+000
7.911412291568726e-009	6.537411e-006	1.000000e+000
8.122349791568726e-009	1.039414e-005	1.000000e+000
8.333287291568725e-009	1.627801e-005	1.000000e+000
8.544224791568724e-009	2.512589e-005	1.000000e+000
8.755162291568724e-009	3.824763e-005	1.000000e+000
8.966099791568723e-009	5.744972e-005	1.000000e+000
9.177037291568722e-009	8.519060e-005	1.000000e+000
9.387974791568721e-009	1.247730e-004	1.000000e+000
9.598912291568721e-009	1.805780e-004	1.000000e+000
9.809849791568720e-009	2.583466e-004	1.000000e+000
1.002078729156872e-008	3.655108e-004	1.000000e+000
1.023172479156872e-008	5.115787e-004	1.000000e+000
1.044266229156872e-008	7.085741e-004	1.000000e+000
1.065359979156872e-008	9.715274e-004	1.000000e+000
1.086453729156872e-008	1.319016e-003	1.000000e+000
1.107547479156872e-008	1.773742e-003	1.000000e+000
1.128641229156872e-008	2.363142e-003	1.000000e+000
1.149734979156871e-008	3.120002e-003	1.000000e+000
1.170828729156871e-008	4.083066e-003	1.000000e+000
1.191922479156871e-008	5.297604e-003	1.000000e+000
1.213016229156871e-008	6.815911e-003	1.000000e+000
1.234109979156871e-008	8.697703e-003	1.000000e+000
1.255203729156871e-008	1.101037e-002	1.000000e+000
1.276297479156871e-008	1.382906e-002	1.000000e+000
1.297391229156871e-008	1.723648e-002	1.000000e+000
