2.5n 0.6272m
71984.5n 51.4412m
71989.5n 3.20239m
71994.5n 0.0419833m
72047n 0m
73028.7n 0.048822m
73033.7n 0.618412m
73038.7n 2.80145m
73043.7n 2.81308m
73048.7n 0.66026m
73053.7n 0.0302232m
73058.7n 0.00232486m
73111.2n 0m
74307.2n 0.147203m
74312.2n 2.43575m
74317.2n 9.14268m
74322.2n 8.91958m
74327.2n 2.22644m
74332.2n 0.126503m
74389.7n 0m
75530.4n 0m
77125.9n 0.0662769m
77130.9n 1.33011m
77135.9n 5.39586m
77140.9n 5.56955m
77145.9n 1.27069m
77150.9n 0.0799894m
77208.4n 0m
78578.8n 0.0501196m
78583.8n 0.646999m
78588.8n 2.66773m
78593.8n 2.74519m
78598.8n 0.688006m
78603.8n 0.0364507m
78661.2n 0m
79760.6n 0.131163m
79765.6n 1.5536m
79770.6n 6.42925m
79775.6n 6.1511m
79780.6n 1.47445m
79785.6n 0.0881959m
79843.1n 0m
81945.7n 0.00225906m
81950.7n 0.257533m
81955.7n 0.856184m
81960.7n 0.899107m
81965.7n 0.230424m
81970.7n 0.0135544m
82028.2n 0m
81614.6n 0.0874616m
81619.6n 1.52946m
81624.6n 6.2793m
81629.6n 6.05504m
81634.6n 1.62365m
81639.6n 0.118858m
81644.6n 0.00224261m
81697.1n 0m
83499.8n 0.0890556m
83504.8n 1.5607m
83509.8n 6.1248m
83514.8n 6.14929m
83519.8n 1.58296m
83524.8n 0.0779236m
83582.3n 0m
83602.3n 0.374337m
83607.3n 6.22958m
83612.3n 23.8429m
83617.3n 23.7802m
83622.3n 5.98723m
83627.3n 0.357027m
83632.3n 0.0064914m
83684.8n 0m
84652.2n 0.237809m
84657.2n 3.96844m
84662.2n 15.8355m
84667.2n 15.9608m
84672.2n 4.12344m
84677.2n 0.210206m
84682.2n 0.00424659m
84734.8n 0m
87030.4n 0.0317868m
87035.4n 0.40899m
87040.4n 1.66563m
87045.4n 1.67622m
87050.4n 0.440777m
87055.4n 0.0148338m
87112.9n 0m
88346.2n 0.130106m
88351.2n 2.04182m
88356.2n 8.43591m
88361.2n 8.13792m
88366.2n 2.09009m
88371.2n 0.144795m
88376.2n 0.00209848m
88428.7n 0m
90129.1n 0.114414m
90134.1n 1.93672m
90139.1n 7.35578m
90144.1n 7.32457m
90149.1n 1.84102m
90154.1n 0.147698m
90159.1n 0.00208025m
90211.6n 0m
91468.6n 0.220831m
91473.6n 3.62326m
91478.6n 14.6648m
91483.6n 14.5401m
91488.6n 3.56805m
91493.6n 0.175847m
91498.6n 0.00204473m
91551.1n 0m
94061.9n 0.0529619m
94066.9n 0.833132m
94071.9n 3.20623m
94076.9n 3.21845m
94081.9n 0.78017m
94086.9n 0.0549989m
94144.4n 0m
98258.3n 0.131042m
98263.3n 2.20353m
98268.3n 8.60041m
98273.3n 8.87661m
98278.3n 2.20554m
98283.3n 0.159267m
98340.8n 0m
99325.1n 0.11406m
99330.1n 1.55482m
99335.1n 6.29333m
99340.1n 6.34536m
99345.1n 1.61285m
99350.1n 0.0840445m
99407.6n 0m
100505n 0.124907m
100510n 2.00843m
100515n 7.85923m
100520n 7.73036m
100525n 1.9886m
100530n 0.109046m
100588n 0m
103589n 0.201068m
103594n 3.23076m
103599n 13.2041m
103604n 13.0109m
103609n 3.32641m
103614n 0.210829m
103671n 0m
106629n 0.112408m
106634n 1.56015m
106639n 6.24836m
106644n 6.09525m
106649n 1.42255m
106654n 0.0658946m
106711n 0m
107580n 0.153391m
107585n 2.29511m
107590n 9.04431m
107595n 9.06732m
107600n 2.31045m
107605n 0.138052m
107663n 0m
109670n 0.0172411m
109675n 0.212641m
109680n 0.701139m
109685n 0.775851m
109690n 0.197315m
109695n 0.0114941m
109753n 0m
112882n 0.138491m
112887n 2.0489m
112892n 8.06281m
112897n 8.3948m
112902n 2.06787m
112907n 0.147976m
112912n 0.00189713m
112964n 0m
115421n 0.455157m
115426n 7.74863m
115431n 31.075m
115436n 30.9708m
115441n 7.87111m
115446n 0.467952m
