2.5n 0.6272m
354199n 0.031555m
354204n 0.59216m
354209n 2.38274m
354214n 2.36394m
354219n 0.625058m
354224n 0.0456541m
354229n 0.000671383m
354282n 0m
353720n 0.0221212m
353725n 0.321092m
353730n 1.30448m
353735n 1.3447m
353740n 0.33584m
353745n 0.0227915m
353750n 0.000670339m
353802n 0m
355899n 0.0227491m
355904n 0.370676m
355909n 1.62254m
355914n 1.60113m
355919n 0.368669m
355924n 0.0281018m
355981n 0m
358684n 0.0632885m
358689n 0.95066m
358694n 3.59146m
358699n 3.66873m
358704n 0.985968m
358709n 0.0652871m
358767n 0m
360646n 0.0689645m
360651n 1.00264m
360656n 3.91838m
360661n 3.87992m
360666n 1.0212m
360671n 0.055039m
360729n 0m
361047n 0.034387m
361052n 0.554821m
361057n 2.37204m
361062n 2.3522m
361067n 0.595821m
361072n 0.0416612m
361130n 0m
363567n 0.019148m
363572n 0.344664m
363577n 1.33178m
363582n 1.25783m
363587n 0.325516m
363592n 0.0217891m
363650n 0m
366272n 0m
368719n 0.0164816m
368724n 0.325677m
368729n 1.28293m
368734n 1.32051m
368739n 0.329633m
368744n 0.0204372m
368749n 0.000659266m
368801n 0m
371395n 0.0309193m
371400n 0.443396m
371405n 1.81766m
371410n 1.80976m
371415n 0.472341m
371420n 0.0309193m
371478n 0m
373212n 0.0288928m
373217n 0.413036m
373222n 1.53985m
373227n 1.54642m
373232n 0.392023m
373237n 0.019043m
373242n 0.000656654m
373295n 0m
375070n 0.00787505m
375075n 0.135188m
375080n 0.498753m
375085n 0.52566m
375090n 0.140438m
375095n 0.00459378m
375152n 0m
376622n 0.215837m
376627n 3.30282m
376632n 13.1738m
376637n 12.7893m
376642n 3.2647m
376647n 0.203559m
376652n 0.00387731m
376704n 0m
377886n 0.300394m
377891n 5.02782m
377896n 19.8077m
377901n 19.9377m
377906n 5.09156m
377911n 0.312385m
377916n 0.0063108m
377968n 0m
379123n 0.0490233m
379128n 0.88619m
379133n 3.475m
379138n 3.44043m
379143n 0.891847m
379148n 0.0559368m
379206n 0m
381368n 0.0438291m
381373n 0.810838m
381378n 3.19452m
381383n 3.22332m
381388n 0.814595m
381393n 0.0507165m
381398n 0.00062613m
381451n 0m
381657n 0.0542213m
381662n 0.980345m
381667n 3.89708m
381672n 3.97997m
381677n 0.993433m
381682n 0.0654395m
381687n 0.000623233m
381739n 0m
383097n 0.00934579m
383102n 0.0685358m
383107n 0.238006m
383112n 0.243614m
383117n 0.0598131m
383122n 0.00373832m
383180n 0m
384027n 0.0217691m
384032n 0.353281m
384037n 1.46786m
384042n 1.49834m
384047n 0.363233m
384052n 0.0261229m
384057n 0.00124395m
384109n 0m
384777n 0.0198688m
384782n 0.352671m
384787n 1.49388m
384792n 1.47712m
384797n 0.362605m
384802n 0.0192479m
384860n 0m
387834n 0.0507092m
387839n 0.854635m
387844n 3.39504m
387849n 3.43029m
387854n 0.875661m
387859n 0.0507092m
387864n 0.000618405m
387917n 0m
390411n 0.0792286m
390416n 1.50596m
390421n 5.72165m
390426n 5.90038m
390431n 1.43901m
390436n 0.0896695m
390493n 0m
391007n 0.104281m
391012n 1.48189m
391017n 6.00439m
391022n 6.03976m
391027n 1.52153m
391032n 0.089645m
391037n 0.00365898m
391089n 0m
394562n 0.0146111m
394567n 0.371975m
394572n 1.43006m
394577n 1.45259m
394582n 0.36406m
394587n 0.0188727m
394645n 0m
395826n 0m
398199n 0.0364352m
398204n 0.564745m
398209n 2.13874m
398214n 2.1515m
398219n 0.538633m
398224n 0.0346134m
398282n 0m
400532n 0.0169839m
400537n 0.240201m
400542n 0.966264m
400547n 0.940788m
400552n 0.24566m
400557n 0.0163774m
400614n 0m
403736n 0.054377m
403741n 0.801154m
403746n 3.37741m
403751n 3.32304m
403756n 0.850093m
403761n 0.0519602m
403766n 0.000604188m
403818n 0m
407104n 0.0247232m
407109n 0.428134m
407114n 1.63414m
407119n 1.65525m
407124n 0.457681m
407129n 0.0211052m
407186n 0m
408843n 0.00904002m
408848n 0.124752m
408853n 0.46526m
408858n 0.476108m
408863n 0.121136m
408868n 0.00904002m
408926n 0m
411170n 0.127756m
411175n 2.00171m
411180n 8.00446m
411185n 7.98118m
411190n 2.05544m
411195n 0.123577m
411200n 0.00298496m
411253n 0m
414097n 0.00715993m
414102n 0.124702m
414107n 0.477329m
414112n 0.461219m
414117n 0.113962m
414122n 0.00835325m
414127n 0.000596661m
414179n 0m
417283n 0.0255927m
417288n 0.556491m
417293n 2.06289m
417298n 2.13728m
417303n 0.542207m
417308n 0.0321396m
417365n 0m
418450n 0.0568701m
418455n 0.997596m
418460n 3.97321m
418465n 3.95721m
418470n 1.00707m
418475n 0.0758268m
418480n 0.00177719m
418533n 0m
420268n 0.0377991m
420273n 0.639632m
420278n 2.59337m
420283n 2.53549m
420288n 0.642585m
420293n 0.0478395m
420351n 0m
423304n 0.403231m
423308n 6.86293m
423314n 26.8254m
423318n 26.8792m
423324n 6.6616m
423328n 0.418673m
423334n 0.00514762m
423386n 0m
426416n 0.0994068m
426421n 1.44282m
426426n 5.82978m
426431n 5.78547m
426436n 1.51723m
426441n 0.0897501m
426446n 0.00284019m
426499n 0m
428280n 0.0362684m
428285n 0.510592m
428290n 1.984m
428295n 2.0469m
428300n 0.490191m
428305n 0.0317349m
428310n 0.000566694m
428363n 0m
429703n 0.0327993m
429708n 0.462017m
429713n 1.80339m
429718n 1.76324m
429723n 0.429784m
429728n 0.0322338m
429733n 0.000565505m
429786n 0m
430730n 0.00791084m
430735n 0.184775m
430740n 0.672421m
430745n 0.652644m
430750n 0.167823m
430755n 0.00960602m
430813n 0m
432411n 0.00395438m
432416n 0.0644m
432421n 0.233874m
432426n 0.209582m
432431n 0.0474526m
432436n 0.00564912m
432494n 0m
434171n 0.0472914m
434176n 0.727387m
434181n 2.86507m
434186n 2.90336m
434191n 0.728513m
434196n 0.0456025m
434201n 0.000562993m
434253n 0m
436312n 0.0208036m
436317n 0.280567m
436322n 1.11496m
436327n 1.1099m
436332n 0.267635m
436337n 0.01743m
436395n 0m
438735n 0.0134801m
438740n 0.212312m
438745n 0.894183m
438750n 0.877895m
438755n 0.237026m
438760n 0.0112335m
438818n 0m
440245n 0.0246558m
440250n 0.523935m
440255n 1.9663m
440260n 1.9719m
440265n 0.523375m
440270n 0.0319404m
440275n 0.000560358m
440327n 0m
442422n 0.0178989m
442427n 0.401606m
442432n 1.50407m
442437n 1.57902m
442442n 0.382029m
442447n 0.0290857m
442452n 0.00111868m
442504n 0m
444797n 0.00726765m
444802n 0.0989519m
444807n 0.444445m
444812n 0.449476m
444817n 0.111251m
444822n 0.0067086m
444879n 0m
446079n 0.0184248m
446084n 0.27023m
446089n 1.0865m
446094n 1.11777m
446099n 0.282513m
446104n 0.0156331m
446162n 0m
450125n 0.0289579m
450130n 0.56468m
450135n 2.16906m
450140n 2.17964m
450145n 0.588626m
450150n 0.0373112m
450208n 0m
450317n 0.0460429m
450322n 0.827662m
450327n 3.24796m
450332n 3.30566m
450337n 0.837093m
450342n 0.0549186m
450400n 0m
453473n 0.027133m
453478n 0.363251m
453483n 1.54215m
453488n 1.55821m
453493n 0.36768m
453498n 0.0177195m
453556n 0m
454724n 0.0825513m
454729n 1.24102m
454734n 5.20513m
454739n 5.27833m
454744n 1.32853m
454749n 0.0720948m
454754n 0.000550342m
454806n 0m
455944n 0.0504382m
455949n 0.802078m
455954n 3.26917m
455959n 3.20118m
455964n 0.839358m
455969n 0.0608548m
456026n 0m
458593n 0.0338961m
458598n 0.590449m
458603n 2.41373m
458608n 2.37382m
458613n 0.572954m
458618n 0.028429m
458623n 0.000546712m
458675n 0m
461366n 0.0321662m
461371n 0.593713m
461376n 2.39175m
461381n 2.37321m
461386n 0.57245m
461391n 0.0321662m
461396n 0.00163557m
461449n 0m
463667n 0.0715669m
463672n 1.19766m
463677n 4.68492m
463682n 4.75377m
463687n 1.1467m
463692n 0.0683138m
463697n 0.00271087m
463749n 0m
466041n 0.0238077m
466046n 0.432326m
466051n 1.70712m
466056n 1.71307m
466061n 0.425292m
466066n 0.025972m
466123n 0m
468635n 0.0463819m
468640n 0.711368m
468645n 2.78453m
468650n 2.72952m
468655n 0.700043m
468660n 0.0377527m
468665n 0.000539324m
468717n 0m
470720n 0.0236947m
470725n 0.31934m
470730n 1.29351m
470735n 1.2612m
470740n 0.309108m
470745n 0.0226177m
470750n 0.000538515m
470802n 0m
472387n 0.00645896m
472392n 0.103882m
472397n 0.420909m
472402n 0.427906m
472407n 0.110879m
472412n 0.00645896m
472469n 0m
473745n 0.0279261m
473750n 0.488169m
473755n 1.88823m
473760n 1.93119m
473765n 0.470447m
473770n 0.0252409m
473775n 0.00214816m
473827n 0m
475658n 0.0193046m
475663n 0.321206m
475668n 1.30145m
475673n 1.25051m
475678n 0.301902m
475683n 0.022522m
475740n 0m
474364n 0.0160632m
474369n 0.333043m
474374n 1.24061m
474379n 1.2797m
474384n 0.319657m
474389n 0.0230238m
474394n 0.000535438m
474446n 0m
475708n 0.0240529m
475713n 0.381639m
475718n 1.49823m
475723n 1.45654m
475728n 0.355448m
475733n 0.0251219m
475791n 0m
478693n 0.0154816m
478698n 0.27333m
478703n 1.0378m
478708n 1.04954m
478713n 0.271194m
478718n 0.0218877m
478776n 0m
480905n 0m
482586n 0.119524m
482591n 2.0023m
482596n 7.94308m
482601n 7.89812m
482606n 2.00547m
482611n 0.124813m
482616n 0.00211547m
482669n 0m
483002n 0.0342588m
483007n 0.76845m
483012n 2.86878m
483017n 2.89144m
483022n 0.765815m
483027n 0.0474352m
483032n 0.000527058m
483085n 0m
485154n 0.115435m
485159n 1.92792m
485164n 7.62969m
485169n 7.64171m
485174n 1.89711m
485179n 0.112301m
485184n 0.00104466m
485236n 0m
485918n 0.0478804m
485923n 0.786384m
485928n 3.1039m
485933n 3.05446m
485938n 0.768168m
485943n 0.0437169m
485948n 0.000520439m
486000n 0m
488677n 0.0306246m
488682n 0.576676m
488687n 2.26155m
488692n 2.27504m
488697n 0.527884m
488702n 0.0373723m
488760n 0m
490699n 0.0310613m
490704n 0.528043m
490709n 2.26385m
490714n 2.23642m
490719n 0.597413m
490724n 0.0367559m
490729n 0.000517689m
490782n 0m
490584n 0.00983137m
490589n 0.0827905m
490594n 0.421714m
490599n 0.417574m
490604n 0.0972788m
490609n 0.00569184m
490667n 0m
491868n 0.0278949m
491873n 0.360051m
491878n 1.43452m
491883n 1.41024m
491888n 0.363667m
491893n 0.0185966m
491898n 0.000516572m
491950n 0m
494275n 0.334001m
494280n 5.32437m
494285n 21.0229m
494290n 20.9972m
494295n 5.39037m
494300n 0.323422m
494305n 0.00302264m
494358n 0m
496314n 0.00905943m
496319n 0.207864m
496324n 0.780621m
496329n 0.803773m
496334n 0.199811m
496339n 0.0110726m
496396n 0m
498736n 0.0140793m
498741n 0.201133m
498746n 0.792463m
498751n 0.799503m
498756n 0.192082m
498761n 0.0115651m
498766n 0.000502832m
498818n 0m
499948n 0.00251357m
499953n 0.0477579m
499958n 0.203097m
499963n 0.202091m
499968n 0.0447416m
499973n 0.00251357m
500031n 0m
502578n 0m
505328n 0.0565824m
505334n 0.829208m
505338n 3.40095m
505344n 3.33285m
505348n 0.838721m
505354n 0.0520758m
505358n 0.000500729m
505411n 0m
506207n 0.0125037m
506212n 0.256076m
506217n 1.0123m
506222n 0.948281m
506227n 0.255576m
506232n 0.0155046m
506237n 0.000500148m
506289n 0m
506978n 0.0577758m
506983n 0.945332m
506988n 3.50689m
506993n 3.5049m
506998n 0.892537m
507003n 0.0567797m
507008n 0.000996135m
507061n 0m
509335n 0.011445m
509340n 0.191081m
509345n 0.780249m
509350n 0.801646m
509355n 0.189589m
509360n 0.0159234m
509418n 0m
513010n 0.0396803m
513015n 0.71375m
513020n 2.74241m
513025n 2.71612m
513030n 0.688454m
513035n 0.0421604m
513040n 0.000496004m
513093n 0m
513642n 0.0415305m
513647n 0.71393m
513652n 2.72272m
513657n 2.71778m
513662n 0.68822m
513667n 0.0370808m
513672n 0.000494411m
513725n 0m
514180n 0.0266493m
514185n 0.386908m
514190n 1.58218m
514195n 1.55602m
514200n 0.368649m
514205n 0.0266493m
514262n 0m
517160n 0.0447349m
517165n 0.824399m
517170n 3.32513m
517175n 3.31284m
517180n 0.804736m
517185n 0.0432601m
517190n 0.00147478m
517243n 0m
520220n 0.0024574m
520225n 0.0447246m
520230n 0.187254m
520235n 0.203473m
520240n 0.0511139m
520245n 0.0024574m
520303n 0m
522861n 0.00638632m
522866n 0.090391m
522871n 0.377776m
522876n 0.403812m
522881n 0.0972686m
522886n 0.00687758m
522944n 0m
525430n 0.16787m
525435n 2.58694m
525440n 10.5651m
525445n 10.5409m
525450n 2.64516m
525455n 0.171751m
525460n 0.00242586m
525513n 0m
527795n 0m
530361n 0.0261522m
530366n 0.394221m
530371n 1.53378m
530376n 1.51247m
530381n 0.38066m
530386n 0.0266365m
530444n 0m
534081n 0.0188581m
534086n 0.329774m
534091n 1.34424m
534096n 1.33844m
534101n 0.331225m
534106n 0.0212758m
534111n 0.00096708m
534164n 0m
535724n 0.0140101m
535729n 0.196624m
535734n 0.73867m
535739n 0.754129m
535744n 0.210634m
535749n 0.018358m
535806n 0m
538699n 0.00579468m
538704n 0.107202m
538709n 0.374723m
538714n 0.375688m
538719n 0.092232m
538724n 0.0096578m
538729n 0.00048289m
538781n 0m
541250n 0.087338m
541255n 1.33262m
541260n 5.29403m
541265n 5.30267m
541270n 1.33071m
541275n 0.0882978m
541280n 0.000959759m
541333n 0m
544200n 0.021561m
544205n 0.345455m
544210n 1.32193m
544215n 1.31522m
544220n 0.329643m
544225n 0.0201236m
544282n 0m
546023n 0.0153152m
546028n 0.231164m
546033n 0.920349m
546038n 0.968209m
546043n 0.24265m
546048n 0.0153152m
546105n 0m
547034n 0.0448391m
547039n 0.723149m
547044n 2.81198m
547049n 2.80101m
547054n 0.722672m
547059n 0.0505632m
547064n 0.000954023m
547117n 0m
548639n 0.004768m
548644n 0.0891617m
548649n 0.370474m
548654n 0.399559m
548659n 0.0843937m
548664n 0.0052448m
548721n 0m
553271n 0.0242739m
553276n 0.374579m
553281n 1.50546m
553286n 1.49022m
553291n 0.391713m
553296n 0.0214181m
553353n 0m
555473n 0.0445825m
555478n 0.765966m
555483n 2.95667m
555488n 3.00695m
555493n 0.765966m
555498n 0.0464796m
555503n 0.000948564m
555556n 0m
556319n 0.272702m
556324n 4.42177m
556329n 17.2876m
556334n 17.4427m
556339n 4.43385m
556344n 0.267592m
556349n 0.00418113m
556402n 0m
557963n 0.0129911m
557968n 0.276526m
557973n 1.08522m
557978n 1.12281m
557983n 0.266318m
557988n 0.0199507m
558046n 0m
559790n 0.0268582m
559795n 0.434825m
559800n 1.61334m
559805n 1.63881m
559810n 0.431583m
559815n 0.0222275m
559872n 0m
560665n 0.00601865m
560670n 0.0393527m
560675n 0.177319m
560680n 0.187504m
560685n 0.050927m
560690n 0.00185189m
560747n 0m
562894n 0.00416586m
562899n 0.0476759m
562904n 0.179595m
562909n 0.181909m
562914n 0.0467502m
562919n 0.00277724m
562976n 0m
564047n 0.0323317m
564052n 0.47389m
564057n 1.80272m
564062n 1.79533m
564067n 0.482666m
564072n 0.030946m
564129n 0m
566104n 0.00738535m
566109n 0.126936m
566114n 0.551132m
566119n 0.540516m
566124n 0.150477m
566129n 0.00784694m
566186n 0m
566340n 0.00645803m
566345n 0.132851m
566350n 0.542014m
566355n 0.55493m
566360n 0.140232m
566365n 0.00738061m
566422n 0m
568761n 0.00875698m
568766n 0.185279m
568771n 0.723603m
568776n 0.726368m
568781n 0.191732m
568786n 0.00783519m
568844n 0m
570398n 0.0340116m
570403n 0.633351m
570408n 2.33669m
570413n 2.32106m
570418n 0.614047m
570423n 0.0349308m
570428n 0.000919232m
570480n 0m
571954n 0.00688836m
571959n 0.179557m
571964n 0.728788m
571969n 0.7219m
571974n 0.188741m
571979n 0.0105622m
571984n 0.000459224m
572037n 0m
574884n 0.0146827m
574889n 0.190875m
574894n 0.733674m
574899n 0.698344m
574904n 0.188122m
574909n 0.00963549m
574967n 0m
575430n 0.0365898m
575435n 0.686516m
575440n 2.71313m
575445n 2.72502m
575450n 0.657244m
575455n 0.0402488m
575460n 0.000914745m
575512n 0m
577520n 0m
579232n 0.0895323m
579237n 1.35844m
579242n 5.3683m
579247n 5.39512m
579252n 1.34435m
579257n 0.0763524m
579262n 0.00136344m
579267n 0.000454479m
579315n 0m
581535n 0.00499611m
581540n 0.120815m
581545n 0.541396m
581550n 0.540942m
581555n 0.148975m
581560n 0.0054503m
581617n 0m
582864n 0.00136229m
582869n 0.042685m
582874n 0.175735m
582879n 0.176189m
582884n 0.056762m
582889n 0.00136229m
582946n 0m
584323n 0.0871082m
584328n 1.30482m
584333n 5.17639m
584338n 5.17278m
584343n 1.2642m
584348n 0.0812408m
584353n 0.00180535m
584406n 0m
589213n 0.0584048m
589218n 0.972665m
589223n 3.8965m
589228n 3.92256m
589233n 0.96997m
589238n 0.0628975m
589243n 0.000449268m
589295n 0m
589490n 0.0206319m
589495n 0.361956m
589500n 1.38996m
589505n 1.41957m
589510n 0.376308m
589515n 0.0188378m
589572n 0m
591567n 0.0264132m
591572n 0.403809m
591577n 1.59643m
591582n 1.57763m
591587n 0.40157m
591592n 0.0232794m
591650n 0m
594190n 0.014308m
594195n 0.263356m
594200n 1.07399m
594205n 1.06863m
594210n 0.245471m
594215n 0.0165436m
594220n 0.000447124m
594272n 0m
595114n 0.00536438m
595119n 0.0384447m
595124n 0.177471m
595129n 0.181942m
595134n 0.0415739m
595139n 0.00223516m
595197n 0m
595280n 0.0142902m
595285n 0.21346m
595290n 0.866789m
595295n 0.889117m
595300n 0.235788m
595305n 0.013397m
595362n 0m
598841n 0.00803323m
598846n 0.139689m
598851n 0.529747m
598856n 0.524838m
598861n 0.129424m
598866n 0.00714065m
598923n 0m
601102n 0.0422663m
601107n 0.650012m
601112n 2.5827m
601117n 2.68369m
601122n 0.671367m
601127n 0.0400418m
601132n 0.00355927m
601185n 0m
603096n 0.00711414m
603101n 0.129833m
603106n 0.52778m
603111n 0.531782m
603116n 0.128499m
603121n 0.00844804m
603179n 0m
603464n 0.00444542m
603469n 0.0453433m
603474n 0.172927m
603479n 0.173816m
603484n 0.0431205m
603489n 0.00488996m
603546n 0m
605369n 0.0164277m
605374n 0.264619m
605379n 1.02873m
605384n 1.07091m
605389n 0.268615m
605394n 0.0142078m
605452n 0m
607921n 0.00710095m
607926n 0.0936438m
607931n 0.349722m
607936n 0.342621m
607941n 0.0896495m
607946n 0.0048819m
608003n 0m
612547n 0.0181737m
612552n 0.285461m
612557n 1.04831m
612562n 1.01507m
612567n 0.272606m
612572n 0.0195035m
612577n 0.000443262m
612630n 0m
616126n 0.0203607m
616131n 0.314706m
616136n 1.2305m
616141n 1.21235m
616146n 0.297886m
616151n 0.0225738m
616208n 0m
619222n 0.0269447m
619227n 0.417423m
619232n 1.77394m
619237n 1.72358m
619242n 0.444367m
619247n 0.0300368m
619252n 0.000441717m
619304n 0m
622075n 0.0172058m
622080n 0.247058m
622085n 1.03676m
622090n 1.05308m
622095n 0.269558m
622100n 0.0229411m
622157n 0m
624294n 0.0360582m
624299n 0.689064m
624304n 2.83013m
624309n 2.75625m
624314n 0.676311m
624319n 0.0452926m
624324n 0.000879469m
624377n 0m
627204n 0.0101077m
627209n 0.13184m
627214n 0.500551m
627219n 0.528237m
627224n 0.137113m
627229n 0.0101077m
627287n 0m
629610n 0.0402911m
629615n 0.733561m
629620n 2.97366m
629625n 2.90403m
629630n 0.748452m
629635n 0.0429188m
629640n 0.00175179m
629692n 0m
630727n 0.00437769m
630732n 0.0726697m
630737n 0.338833m
630742n 0.354155m
630747n 0.0993736m
630752n 0.00612877m
630809n 0m
633160n 0m
637184n 0.0584356m
637189n 0.8713m
637194n 3.23445m
637199n 3.24317m
637204n 0.822022m
637209n 0.0545108m
637266n 0m
639517n 0.0217691m
639522n 0.370945m
639527n 1.3745m
639532n 1.3745m
639537n 0.322182m
639542n 0.0187214m
639600n 0m
641950n 0m
643194n 0.0169525m
643199n 0.330356m
643204n 1.38228m
643209n 1.3888m
643214n 0.33818m
643219n 0.0208646m
643277n 0m
646546n 0.00911906m
646551n 0.218857m
646556n 0.88368m
646561n 0.8294m
646566n 0.214949m
646571n 0.0147642m
646576n 0.000434241m
646629n 0m
648668n 0m
649014n 0.0298964m
649019n 0.458844m
649024n 1.9034m
649029n 1.87784m
649034n 0.467076m
649039n 0.0281632m
649044n 0.000433281m
649096n 0m
651681n 0.035408m
651686n 0.741841m
651691n 2.90086m
651696n 2.91814m
651701n 0.700819m
651706n 0.0436123m
651763n 0m
653219n 0.00604163m
653224n 0.137663m
653229n 0.50534m
653234n 0.520444m
653239n 0.118675m
653244n 0.00604163m
653249n 0.000431545m
653301n 0m
654103n 0.0554031m
654108n 1.02388m
654113n 4.06461m
654118n 4.09167m
654123n 1.00842m
654128n 0.0618453m
654133n 0.000858963m
654186n 0m
656400n 0.015875m
656405n 0.210665m
656410n 0.840946m
656415n 0.846952m
656420n 0.216243m
656425n 0.0141588m
656430n 0.000429054m
656482n 0m
658651n 0.0124302m
658656n 0.226315m
658661n 0.819535m
658666n 0.854683m
658671n 0.219029m
658676n 0.0111443m
658733n 0m
660428n 0.00171417m
660433n 0.0424257m
660438n 0.171417m
660443n 0.176988m
660448n 0.0342834m
660453n 0.00128563m
660510n 0m
662594n 0.105928m
662599n 1.5787m
662604n 6.14295m
662609n 6.2442m
662614n 1.57828m
662619n 0.0867841m
662624n 0.00170165m
662677n 0m
665387n 0.0258939m
665392n 0.477552m
665397n 1.84399m
665402n 1.83337m
665407n 0.460997m
665412n 0.0267429m
665417n 0.00042449m
665470n 0m
668390n 0.0419172m
668395n 0.556779m
668400n 2.18266m
668405n 2.12381m
668410n 0.5644m
668415n 0.0342959m
668473n 0m
670224n 0.00634735m
670229n 0.126524m
670234n 0.497209m
670239n 0.506942m
670244n 0.127793m
670249n 0.00465472m
670306n 0m
673018n 0.0606843m
673023n 0.88203m
673028n 3.47502m
673033n 3.50115m
673038n 0.88793m
673043n 0.0425633m
673101n 0m
676202n 0.0222916m
676208n 0.40882m
676212n 1.66725m
676218n 1.6744m
676222n 0.407138m
676228n 0.0256564m
676285n 0m
678344n 0.0155439m
678349n 0.24156m
678354n 1.01497m
678359n 0.989347m
678364n 0.244501m
678369n 0.0142836m
678426n 0m
682801n 0.0564829m
682806n 0.883226m
682811n 3.45592m
682816n 3.4509m
682821n 0.882807m
682826n 0.0564829m
682831n 0.000418392m
682884n 0m
685433n 0.0988671m
685438n 1.56193m
685443n 6.06496m
685448n 6.02633m
685453n 1.51125m
685458n 0.105098m
685463n 0.00124622m
685516n 0m
688250n 0.198974m
688255n 3.04151m
688260n 12.261m
688265n 12.336m
688270n 3.07222m
688275n 0.200202m
688280n 0.00327529m
688332n 0m
691391n 0.0163547m
691396n 0.283345m
691401n 1.11294m
691406n 1.15096m
691411n 0.278438m
691416n 0.0192167m
691421n 0.000408867m
691474n 0m
692364n 0.0118459m
692369n 0.21486m
692374n 0.802254m
692379n 0.801437m
692384n 0.200155m
692389n 0.0118459m
692447n 0m
693695n 0.0224196m
693700n 0.451246m
693705n 1.77726m
693710n 1.76259m
693715n 0.443501m
693720n 0.0256807m
693725n 0.000815259m
693778n 0m
695605n 0.010183m
695610n 0.174741m
695615n 0.642753m
695620n 0.646419m
695625n 0.146228m
695630n 0.00855375m
695635n 0.000407321m
695688n 0m
697887n 0.00814181m
697892n 0.120092m
697897n 0.476296m
697902n 0.475075m
697907n 0.13434m
697912n 0.00732763m
697970n 0m
700533n 0.0256032m
700538n 0.357225m
700543n 1.45207m
700548n 1.4476m
700553n 0.352349m
700558n 0.022352m
700615n 0m
702053n 0.0304054m
702058n 0.520947m
702063n 2.06838m
702068n 2.08946m
702073n 0.529055m
702078n 0.0320271m
702136n 0m
703186n 0.00850712m
703192n 0.151913m
703196n 0.647757m
703202n 0.636414m
703206n 0.164471m
703212n 0.0113428m
703269n 0m
706162n 0.0480445m
706167n 0.698462m
706172n 2.87136m
706177n 2.85602m
706182n 0.749736m
706187n 0.0415847m
706192n 0.00201867m
706244n 0m
708526n 0.00363225m
708531n 0.0883849m
708536n 0.315199m
708541n 0.314392m
708546n 0.0815239m
708551n 0.00403584m
708609n 0m
711615n 0.0829515m
711620n 1.51717m
711625n 5.99054m
711630n 6.04344m
711635n 1.50234m
711640n 0.0889625m
711645n 0.000801464m
711698n 0m
713193n 0.0236037m
713198n 0.362857m
713203n 1.44703m
713208n 1.41222m
713213n 0.337253m
713218n 0.0164026m
713275n 0m
715604n 0m
717938n 0.00999414m
717943n 0.141517m
717948n 0.663611m
717953n 0.613241m
717958n 0.162305m
717963n 0.00839508m
718021n 0m
720008n 0.0402494m
720013n 0.682248m
720018n 2.66762m
720023n 2.66443m
720028n 0.674277m
720033n 0.0442345m
720038n 0.00119553m
720090n 0m
721473n 0.0210859m
721478n 0.342148m
721483n 1.41315m
721488n 1.41793m
721493n 0.366019m
721498n 0.0190967m
721555n 0m
724177n 0.334064m
724182n 5.54538m
724187n 22.1381m
724192n 21.8312m
724197n 5.61165m
724202n 0.339489m
724207n 0.0034879m
724260n 0m
728047n 0.0189556m
728052n 0.396521m
728057n 1.51335m
728062n 1.52728m
728067n 0.389557m
728072n 0.0224373m
728077n 0.000386849m
728129n 0m
729242n 0.034331m
729247n 0.626058m
729252n 2.42246m
729257n 2.45524m
729262n 0.595585m
729267n 0.035874m
729272n 0.000771483m
729324n 0m
731231n 0.135555m
731236n 2.17003m
731241n 8.52776m
731246n 8.58847m
731251n 2.20898m
731256n 0.129446m
731261n 0.00305477m
731314n 0m
734711n 0.0551429m
734716n 0.86061m
734721n 3.44586m
734726n 3.48579m
734731n 0.84844m
734736n 0.0482976m
734741n 0.00114089m
734794n 0m
736210n 0.0492386m
736215n 0.880235m
736220n 3.41716m
736225n 3.43307m
736230n 0.877205m
736235n 0.053405m
736240n 0.000378759m
736292n 0m
736902n 0.0109744m
736908n 0.184672m
736912n 0.756474m
736918n 0.747392m
736922n 0.18505m
736928n 0.00756852m
736985n 0m
738798n 0.090612m
738803n 1.40919m
738808n 5.48109m
738813n 5.4574m
738818n 1.39791m
738823n 0.0725648m
738828n 0.00112795m
738881n 0m
740253n 0.232228m
740258n 3.42648m
740263n 14.0764m
740268n 13.9925m
740273n 3.54555m
740278n 0.222983m
740283n 0.00221874m
740336n 0m
741582n 0.00591259m
741587n 0.146706m
741592n 0.589041m
741597n 0.578325m
741602n 0.152249m
741607n 0.00591259m
741664n 0m
742281n 0.0188238m
742286n 0.238065m
742291n 1.02054m
742296n 1.02313m
742301n 0.263533m
742306n 0.0188238m
742311n 0.000738187m
742363n 0m
744924n 0.0162207m
744929n 0.251789m
744934n 1.02411m
744939n 1.02448m
744944n 0.250314m
744949n 0.0136401m
745006n 0m
745730n 0.0195052m
745735n 0.36839m
745740n 1.44044m
745745n 1.46326m
745750n 0.355509m
745755n 0.0309139m
745760n 0.00110407m
745812n 0m
748228n 0.00809234m
748232n 0.0993151m
748238n 0.426687m
748242n 0.4517m
748248n 0.112189m
748252n 0.00514967m
748258n 0.000367834m
748310n 0m
751317n 0.00330881m
751322n 0.117279m
751327n 0.433822m
751332n 0.438969m
751337n 0.104779m
751342n 0.00441174m
751347n 0.000367645m
751400n 0m
752533n 0.0479815m
752538n 0.780157m
752543n 3.19168m
752548n 3.20817m
752553n 0.776128m
752558n 0.0531093m
752563n 0.000366271m
752616n 0m
754236n 0.0124426m
754241n 0.18481m
754246n 0.701179m
754251n 0.735213m
754256n 0.18481m
754261n 0.0113448m
754318n 0m
755638n 0.00585238m
755643n 0.121437m
