time	V(-1)
0.000000000000000e+000	0.000000e+000
4.882812480489244e-016	0.000000e+000
9.765624960978488e-016	0.000000e+000
2.286551330149107e-012	0.000000e+000
4.572126097802116e-012	0.000000e+000
6.857700865455125e-012	0.000000e+000
9.143275633108134e-012	0.000000e+000
1.142885040076114e-011	0.000000e+000
1.371442516841415e-011	0.000000e+000
1.599999993606716e-011	0.000000e+000
3.199999987213431e-011	0.000000e+000
4.743854186629217e-011	1.401298e-045
6.110252927687474e-011	8.407791e-045
7.398508686009542e-011	7.146622e-044
8.773602691301597e-011	7.567012e-043
1.021942483524311e-010	1.878300e-041
1.198170629797410e-010	8.232699e-040
1.397913435918968e-010	8.836040e-038
1.640270740559588e-010	1.982139e-036
1.872030253149583e-010	1.888848e-035
2.080890674816298e-010	1.912613e-034
2.315954604549491e-010	2.103381e-033
2.557183990020939e-010	3.168825e-032
2.838690400293308e-010	5.501945e-031
3.142307314492573e-010	5.085233e-030
3.415507190778819e-010	3.485499e-029
3.693955654209037e-010	2.503059e-028
3.989742754312621e-010	2.001916e-027
4.311735247301799e-010	1.805609e-026
4.662974884432812e-010	1.345331e-025
5.000000000000000e-010	4.016536e-025
5.033702511556719e-010	4.741840e-025
5.101107534670157e-010	6.627051e-025
5.235917580897032e-010	1.360629e-024
5.456696016500951e-010	6.045993e-024
5.835555816329512e-010	4.027613e-023
6.178817657727110e-010	2.069352e-022
6.566182488105300e-010	1.062666e-021
6.928974450748663e-010	4.775077e-021
7.317937622755483e-010	2.256429e-020
7.720255577329070e-010	1.095402e-019
8.159468453905296e-010	4.846806e-019
8.554459713996730e-010	1.895969e-018
8.999251093914384e-010	7.755631e-018
9.420157865303577e-010	2.998206e-017
9.901291391467767e-010	1.277011e-016
1.038608630932215e-009	4.646947e-016
1.082979098449795e-009	1.531682e-015
1.131678243073559e-009	5.360317e-015
1.180506368073559e-009	1.744510e-014
1.229334493073559e-009	5.327375e-014
1.276928956672797e-009	1.533525e-013
1.325757081672797e-009	4.352484e-013
1.374585206672797e-009	1.181711e-012
1.423413331672797e-009	2.759505e-012
1.451171875000000e-009	4.810203e-012
1.500000000000000e-009	1.056502e-011
1.504882812500000e-009	1.157897e-011
1.514648437500000e-009	1.390479e-011
1.534179687500000e-009	2.048406e-011
1.571758066237038e-009	4.291216e-011
1.620586191237038e-009	1.020107e-010
1.669414316237038e-009	2.290826e-010
1.718242441237038e-009	5.008169e-010
1.767070566237038e-009	1.067295e-009
1.815898691237038e-009	2.219903e-009
1.864726816237038e-009	4.511339e-009
1.913554941237038e-009	8.692713e-009
1.951171875000000e-009	1.463155e-008
2.000000000000000e-009	2.591935e-008
2.000220000000000e-009	2.599292e-008
2.000660000000000e-009	2.614066e-008
2.006820000000000e-009	2.831819e-008
2.013860000000000e-009	3.108054e-008
2.027940000000000e-009	3.765668e-008
2.056100000000000e-009	5.611638e-008
2.104928125000000e-009	1.066698e-007
2.153756250000000e-009	1.903481e-007
2.196456270186137e-009	3.129981e-007
2.240895441761084e-009	5.229741e-007
2.287178778573532e-009	8.764118e-007
2.332818323021179e-009	1.435992e-006
2.378867636435028e-009	2.329278e-006
2.424092959732477e-009	3.691662e-006
2.468415358532657e-009	5.719082e-006
2.510855771169421e-009	8.594411e-006
2.551531859822073e-009	1.257089e-005
2.590209042076927e-009	1.777823e-005
2.619584894537184e-009	2.286699e-005
2.635333663575379e-009	2.620449e-005
2.652284130738402e-009	3.041825e-005
2.669777878272620e-009	3.550615e-005
2.695511084003118e-009	4.450603e-005
2.725413358517358e-009	5.763268e-005
2.763741666808797e-009	7.916265e-005
2.796538403257929e-009	1.026656e-004
2.825499383967157e-009	1.288304e-004
2.853664092983781e-009	1.607083e-004
2.888728023307032e-009	2.110622e-004
2.929773642295882e-009	2.873109e-004
2.973114375867598e-009	3.915735e-004
3.009663912907076e-009	5.021959e-004
3.034890599575212e-009	5.952668e-004
3.059612188966545e-009	7.028368e-004
3.083106199128089e-009	8.239517e-004
3.121234846457111e-009	1.061868e-003
3.163473826431534e-009	1.386301e-003
3.204339536786743e-009	1.780750e-003
3.249865330363412e-009	2.327954e-003
3.289666060656117e-009	2.906203e-003
3.316519166959024e-009	3.366606e-003
3.343401458759280e-009	3.898081e-003
3.372580970134094e-009	4.556423e-003
3.405361888674148e-009	5.414369e-003
3.450003876308623e-009	6.782847e-003
3.492498153871096e-009	8.311902e-003
3.532111973820508e-009	9.961377e-003
3.560450171336773e-009	1.130209e-002
3.592075686167918e-009	1.296658e-002
3.616994686939014e-009	1.441360e-002
3.651275958504809e-009	1.660472e-002
3.683001860923630e-009	1.885431e-002
3.731829985923631e-009	2.271398e-002
3.775105156627247e-009	2.648398e-002
3.805042480140768e-009	2.933091e-002
3.834335886647148e-009	3.232265e-002
3.866728868579500e-009	3.582442e-002
3.892858797345784e-009	3.879599e-002
3.920734160590136e-009	4.211884e-002
3.954756340440601e-009	4.634725e-002
3.989599893959963e-009	5.084438e-002
4.024833021082295e-009	5.553899e-002
4.059889916090956e-009	6.031967e-002
4.094577756869799e-009	6.511576e-002
4.128252123450197e-009	6.979256e-002
