20022.5n 8.01177m
20027.5n 0.498912m
20032.5n 0.00875284m
20085n 0m
20502.5n 0.124849m
20507.5n 1.45464m
20512.5n 5.50207m
20517.5n 5.80983m
20522.5n 1.53013m
20527.5n 0.0929109m
20532.5n 0.00290346m
20585n 0m
21002.5n 0.0953519m
21007.5n 1.47362m
21012.5n 5.70667m
21017.5n 5.64888m
21022.5n 1.40716m
21027.5n 0.109799m
21032.5n 0.00288945m
21085n 0m
21502.5n 0.0460977m
21507.5n 0.826878m
21512.5n 3.50343m
21517.5n 3.27294m
21522.5n 0.950766m
21527.5n 0.0432166m
21585n 0m
22002.5n 0.258695m
22007.5n 3.98277m
22012.5n 15.7406m
22017.5n 15.5473m
22022.5n 4.01404m
22027.5n 0.250167m
22032.5n 0.0028428m
22085n 0m
22502.5n 0.141468m
22507.5n 1.48259m
22512.5n 5.63893m
22517.5n 5.51444m
22522.5n 1.29302m
22527.5n 0.0763929m
22585n 0m
23002.5n 1.27953m
23007.5n 20.6489m
23012.5n 82.4535m
23017.5n 81.7874m
23022.5n 20.4673m
23027.5n 1.31639m
23032.5n 0.0157967m
23085n 0m
23502.5n 0.0420137m
23507.5n 0.835022m
23512.5n 3.07488m
23517.5n 3.05649m
23522.5n 0.835022m
23527.5n 0.0288844m
23532.5n 0.00262585m
23585n 0m
24002.5n 0.0497168m
24007.5n 0.996952m
24012.5n 4.07154m
24017.5n 4.12126m
24022.5n 1.16704m
24027.5n 0.0575668m
24032.5n 0.00261667m
24085n 0m
24502.5n 0.0495436m
24507.5n 1.04302m
24512.5n 3.99738m
24517.5n 4.12515m
24522.5n 1.15254m
24527.5n 0.0599738m
24532.5n 0.00260756m
24585n 0m
25002.5n 0.422908m
25007.5n 6.92448m
25012.5n 27.1451m
25017.5n 27.1221m
25022.5n 6.78945m
25027.5n 0.374503m
25032.5n 0.00509527m
25085n 0m
25502.5n 0.103922m
25507.5n 1.52335m
25512.5n 5.94132m
25517.5n 6.01736m
25522.5n 1.55377m
25527.5n 0.0633673m
25532.5n 0.00253469m
25585n 0m
26002.5n 0.10583m
26007.5n 1.71596m
26012.5n 7.0906m
26017.5n 6.85122m
26022.5n 1.75375m
26027.5n 0.118429m
26085n 0m
26585n 0m
