% Model,One_8LayerNanosphere_CUBE_PML.mph
% Version,COMSOL 5.5.0.352
% Date,"Jun 22 2020, 19:25"
% Dimension,3
% Nodes,4365
% Expressions,4
% Description,"Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm"
% Length unit,m
% X,Y,Z,ewfd.Ex (V/m) @ lambda0=400,ewfd.Ey (V/m) @ lambda0=400,ewfd.Ez (V/m) @ lambda0=400,ewfd.normE (V/m) @ lambda0=400
-2.4204096E-7,-1.7605842467975871E-7,-1.6980445059177318E-7,-0.040543487670934894+0.017923100873451052i,0.02441483505108922+1.3973122825066035E-4i,-0.0076650016509773895-0.013536166067218358i,0.052976412358433755
-2.4204095999999995E-7,-2.4011999999999996E-7,-2.4011999999999996E-7,-4.82127336651175E-19+8.107485606657257E-20i,6.342593802986258E-4-8.906970808789964E-4i,5.778473666994656E-4-8.114771002212082E-4i,0.0020896410478650263
-2.4204096E-7,-1.4407200000000002E-7,-2.4011999999999996E-7,-8.362710156010439E-20+1.2419259333389904E-19i,-6.130083798838147E-5-3.1404824372723483E-4i,-0.01871837349829199-0.0217597579787997i,0.02870922005185916
-2.4492239999999997E-7,-2.4012E-7,4.802400000000004E-8,0,0,0,0
-2.4396191999999995E-7,-2.4012E-7,4.802400000000005E-8,1.8282884272751473E-18-6.516445617648738E-19i,-0.003553691921113048+0.00744372886977276i,-6.655873741884125E-6+1.3708982303596936E-4i,0.008252232765157696
-2.4300144E-7,-2.59484663932029E-8,-3.710981399699082E-9,0.006939438523883182-0.0037367587153893413i,0.001523053063875673-5.577029412295362E-4i,0.02541483388544409+0.037385453304316744i,0.04592636653035714
-2.449223999999999E-7,3.4775185739323313E-9,3.410575925193547E-8,-0.003533974095329699-0.028826148224836836i,2.0459680156847963E-15+1.5990971481542824E-15i,1.79700724143999E-15+1.4045132343075628E-15i,0.029041966090241293
-2.439619199999999E-7,3.4775185739323354E-9,3.4105759251935485E-8,0.004161571866091506-0.02890558258048857i,-8.943581632558476E-6-8.955325985132266E-5i,0.016852020293031886+0.012036680545822137i,0.03580318084888634
-2.4300144E-7,-8.247147391901964E-8,-1.5222171572934406E-8,-0.0027437916564860003+0.0072193886464346916i,0.005825837538382862-0.002413293187335763i,0.025345451736617567+0.03254537229164947i,0.04244650523720944
-2.4492239999999997E-7,-9.485114834512748E-8,4.097724841547404E-8,-0.003003801067092537-0.02888631817723609i,2.797615541127142E-16+2.2705883147082988E-16i,-1.5767798275647285E-16-1.2797390487378349E-16i,0.029042076349448335
-2.4396191999999995E-7,-9.485114834512747E-8,4.0977248415474064E-8,0.003582575098762852-0.028929517119805365i,-7.399502915663375E-4+0.0038033938066458907i,0.013342207237206742+0.010328860789166594i,0.03390691515542835
-2.430014399999999E-7,-5.446266099808957E-8,1.0136004301622465E-8,0.016281532624175362-0.01383194765036661i,0.0020613391374235414+4.271861882980711E-4i,0.021314587114185702+0.03628405826199047i,0.04724853253963088
-2.4492239999999997E-7,-4.859119774872591E-8,4.21439867900174E-8,-0.0033433600793536964-0.03442797727612214i,-6.818424756216087E-16-5.611348135154643E-16i,-1.9562789379735186E-15-1.6099557541398969E-15i,0.03458993605003337
-2.4396191999999995E-7,-4.8591197748725914E-8,4.214398679001741E-8,0.00486084148575126-0.03459857177787453i,-3.2514137325424894E-4+0.0020212296702335486i,0.015128516084208347+0.011160368672183504i,0.03972945777376092
-2.4300144E-7,-1.527288872572439E-7,-2.0559363349516324E-9,0.0033770077252218435+7.594705545553911E-4i,0.006999183210076603+0.0023204336809589i,0.016560916169158158+0.022884262426991892i,0.029443641256910808
-2.449223999999999E-7,-1.4941743299111868E-7,9.533012377421659E-8,-0.0010748732963162795-0.04012215693513054i,-5.315312287661518E-16-5.037948254016779E-16i,-3.9592273516371337E-16-3.752626646177966E-16i,0.04013655229003081
-2.4492239999999997E-7,-2.4011999999999996E-7,1.440720000000001E-7,0,0,0,0
-2.439619199999999E-7,-1.4941743299111868E-7,9.533012377421659E-8,0.005685989982868471-0.04144521269002988i,-0.005478240142587674+0.008575425049321015i,0.0034628360378003912+0.005130050264068259i,0.04350266665004733
-2.4396191999999995E-7,-2.4012E-7,1.440720000000001E-7,-5.472841924195092E-18+3.6964789850730278E-19i,-0.007700783073358557+0.0089305008390268i,-8.75656147028126E-6-8.126387372077415E-5i,0.011793305709677912
-2.4300144E-7,-2.4422059446377156E-8,2.3350033427015396E-8,0.02676883738370792-0.026298381168480753i,4.5322871177939407E-4+7.469841916503627E-4i,0.018014294129435542+0.03734927707899061i,0.05593841640680369
-2.4492239999999997E-7,-1.7794987456638176E-8,5.635400793434243E-8,-0.0031788872635345592-0.04766863442193009i,1.7153312334997686E-15+1.500852949006537E-15i,-1.7190890566456704E-15-1.5041409086963195E-15i,0.0477745123668037
-2.4396191999999995E-7,-1.7794987456638166E-8,5.6354007934342445E-8,0.007175818568906436-0.04820089826125768i,-2.756284916529189E-4+9.615323450108383E-4i,0.013521410727508171+0.010417277523105102i,0.051645681665192116
-2.430014400000001E-7,-3.747370193872811E-9,4.077331604176167E-9,0.013397846939014364-0.010619194099600918i,2.0540804935027703E-4+5.49389553243341E-5i,0.023856613765193737+0.03818541422246213i,0.048172266642441085
-2.4492239999999997E-7,2.2997399947707692E-8,7.985090353591003E-9,-0.0033894824770268933-0.003388737907901763i,2.0629567659009582E-16-2.2661020550249513E-20i,4.230967242852478E-16-4.647602762333661E-20i,0.004792925627476686
-2.4396191999999995E-7,2.2997399947707702E-8,7.985090353591013E-9,-1.819380739552724E-4-0.003266719997410288i,-4.988618794845204E-4-2.2773077269453186E-4i,0.018929707442722005+0.013054576127702614i,0.02324319380301564
-2.449223999999999E-7,2.8737389239372328E-8,3.726294995405917E-8,-0.003465295801232872-0.031225952149633317i,-2.4690527846198996E-15-1.9757872636052803E-15i,-1.010099240578222E-15-8.083023688045831E-16i,0.03141764412939379
-2.439619199999999E-7,2.8737389239372334E-8,3.7262949954059174E-8,0.004475423407766038-0.0313339636974288i,5.5324654424503345E-5-0.0010549131196275626i,0.016164942389574354+0.011676349853356539i,0.037426286503943154
-2.4204096E-7,-2.7827942151899458E-8,-2.7533788972522353E-8,-0.026322534213117248-0.04022425153832028i,-8.462089787992279E-4-0.0011412805199080812i,0.011746164316339482+0.04486753397656655i,0.06691221193282916
-2.4204096E-7,-4.638356125163645E-8,-1.5425924906101323E-8,0.0012498874224388225-0.04768088001548059i,-0.0016385581240574779-0.0025182877236538193i,0.008967483966697725+0.04890596098425779i,0.06907823782601148
-2.4204096E-7,-5.305441074865382E-8,-4.665412339888796E-8,-0.05945028736165042-0.021458723321061093i,6.701763246265961E-4-0.001232835095935288i,0.014357958384495521+0.03286331745204945i,0.07275439137329642
-2.4300144E-7,-4.588939183594927E-10,-2.251261333417153E-8,-0.008985080224639343+0.011290908845229772i,3.1622000791652954E-5-1.945304062536132E-5i,0.028789921843243065+0.03575440057220758i,0.048125153045658085
-2.4300144E-7,1.0976501214458379E-8,-7.245053109234646E-9,0.004188669151331686-0.001065543126461603i,-6.837841728914514E-4+3.751307330776806E-4i,0.02614941850550203+0.03725535758031606i,0.045737386890704106
-2.4300144000000003E-7,-1.4720339990159757E-8,-5.665957911702988E-8,-0.03893412203295086+0.03552625102992954i,0.00161075494261395-0.0016018904217231387i,0.028539468874180865+0.027220351512753396i,0.06586997413583963
-2.4300144E-7,4.072581987705585E-9,-8.630916086904827E-8,-0.06116858284134217+0.05026726886316953i,-3.792166789367295E-4+6.928712178418202E-4i,0.022119012082242966+0.016224293602202004i,0.08380686802487806
-2.4300144E-7,2.3323156687396714E-8,-1.6682551165488146E-8,-0.00387858493773158+0.006836137535956725i,-0.0017624303757334454+0.0011541774369200745i,0.02779682208404947+0.03604159003804795i,0.046244649805033476
-2.449223999999999E-7,2.794158519711652E-8,-4.7517857332316436E-8,-0.0012020732232783562+0.04709434127553275i,-2.2962090344381607E-15-2.4164999467201646E-15i,1.0251446239491238E-15+1.0788486117770455E-15i,0.04710968011152772
-2.439619199999999E-7,2.794158519711652E-8,-4.751785733231644E-8,-0.009473836273532418+0.04607177320595742i,-0.0016246875347901899+0.001365104085969722i,0.017240352666319143+0.011453009951393518i,0.05143336124762866
-2.4492239999999997E-7,4.3253120126020525E-8,-9.920194677335281E-8,0.0017398937586758083+0.07129536731657485i,3.2740014596112193E-16+3.1180106512918284E-16i,-2.3954066222605663E-15-2.2812767356769425E-15i,0.07131659435991605
-2.4396191999999995E-7,4.325312012602053E-8,-9.920194677335279E-8,-0.014789417727819106+0.06845017059863553i,-0.003031627856895125+0.0038686266110886276i,0.0077670122519183345+0.00411764357598131i,0.07075090337266277
-2.4492239999999997E-7,5.291720986628672E-8,-1.4203234595347126E-8,-0.0027885226949879473+0.01723596610827588i,1.6338314113223976E-16+2.264527907571189E-16i,5.14920367364977E-16+7.136914702423401E-16i,0.01746007979667039
-2.4396191999999995E-7,5.2917209866286734E-8,-1.420323459534711E-8,-0.0041247302979717645+0.017351536666114806i,-0.0018691206415998027+6.048551369221433E-4i,0.0186370834611638+0.012785541602987812i,0.028864254949967413
-2.4492239999999997E-7,1.4407199999999997E-7,-2.4012000000000006E-7,0,0,0,0
-2.4492239999999997E-7,9.6047625894905E-8,-1.518708276484227E-7,0.002457225244984917+0.05548090552534529i,4.588433393499209E-16+4.1992315252466073E-16i,-7.62553883870672E-16-6.978722440181189E-16i,0.05553529358720345
-2.4396192000000005E-7,1.44072E-7,-2.4011999999999996E-7,3.232440519799288E-20+3.4503470913886128E-18i,2.6008571075449754E-4+4.54305672870498E-4i,-0.010525728733647294-0.010330339693409631i,0.014777100219278217
-2.4396191999999995E-7,9.604762589490502E-8,-1.5187082764842268E-7,-0.012728951334803904+0.05305088941786068i,-0.005178488924425846+0.007854279130786812i,-0.004207791399720896-0.005257020590069249i,0.05579235231277813
-2.4204096E-7,-8.790403789478195E-8,-1.548557463712598E-7,-0.11301830897177532+0.043094131659798564i,0.006666683563189858+0.00524259980474242i,-0.011933376548953418-0.016501303037431303i,0.12296210140893812
-2.4300144E-7,5.0239688427785305E-9,-1.5135471893970233E-7,-0.07391745378295332+0.053629048923238505i,-4.0610038503034355E-4+7.373011754953288E-4i,-0.008038987481159084-0.011908800637287437i,0.09251498829730988
-2.4204096E-7,-1.041440158200622E-7,-6.953677896238374E-8,-0.0697864510990547-0.001054154945100248i,0.011046530926302381-0.002465724924842358i,0.01255901149910718+0.015136111295708354i,0.07347292100372159
-2.4204096E-7,-4.496100442932452E-8,-9.676167587515383E-8,-0.13460576516969489+0.027101326751842764i,0.001640523510823308+0.0025754676659336274i,0.00699916682298045+0.006792763686971436i,0.13769007510284992
-2.449224E-7,1.792112151305185E-7,-1.730479309445992E-7,8.333858840359097E-4+0.02184612109445437i,-7.253815146345871E-17-6.72071474393379E-17i,-3.9474265628506357E-17-3.657320646626974E-17i,0.02186201131884426
-2.4396192E-7,1.7921121513051853E-7,-1.730479309445992E-7,-0.005632400711541357+0.021378479960132958i,-0.005786694759107258+0.009153244613589493i,-0.0034270048705133615-0.003886963265640172i,0.025162105284886844
-2.4492239999999997E-7,2.4012E-7,-2.4012E-7,0,0,0,0
-2.4396192E-7,2.4012E-7,-2.4012E-7,-7.80595999000853E-20+2.2284494597152488E-19i,2.2933005251947464E-4+4.7661215157807535E-4i,-2.0825680539954695E-4-4.328160352809656E-4i,0.001009228361312327
-2.4300144E-7,4.802399999999974E-8,-2.4012E-7,3.8967982541435074E-32+5.618579624425696E-31i,3.426738170184713E-4+2.866918588690668E-4i,-0.034090941741943596-0.02982076305715764i,0.04529976583448713
-2.4204095999999995E-7,-4.8024000000000086E-8,-2.4012E-7,0,-2.626597821194936E-4+1.9836633974495445E-4i,-0.03162113921811173-0.022702781035181783i,0.03893336320562707
-2.4300144000000003E-7,-2.4012E-7,-4.802400000000003E-8,4.008346067824048E-18+2.2037897516682187E-18i,0.0187882241298817-0.005269823272978805i,2.6391324080888904E-5+3.682270717890504E-4i,0.019530764909624118
-2.4204096E-7,-2.4012E-7,-1.440719999999999E-7,-7.517720414704473E-18-5.785987615191773E-18i,0.03986755174661522-0.004858854555195176i,3.4043858827852093E-4-3.749866798164288E-4i,0.04017438768544534
-2.4204096E-7,-1.6568949605519568E-7,-9.659616505669607E-8,-0.04853091168313809+0.010548933561170348i,0.03142316446043203-0.004540664617482867i,0.005500071176653268-6.032096540009342E-4i,0.05926075312309075
-2.4108048E-7,-1.760584246797587E-7,-1.6980445059177316E-7,-0.05396215353026407-0.03065049206558893i,0.03956134892466072+0.02696387042001867i,-0.01712067086578348-0.022478453894095845i,0.08421292972079268
-2.4108048E-7,-2.4011999999999996E-7,-2.4011999999999996E-7,1.5267382750926795E-18+8.05076916629673E-19i,0.0036877359699079813-0.0011412982294411453i,0.0033597430096988378-0.0010397893937190493i,0.007377269358502677
-2.4108048000000003E-7,-1.4407200000000005E-7,-2.4012E-7,4.353956246281659E-18-6.438548633252424E-18i,0.0022779229086295582-2.9700415701140384E-4i,-0.007439255354267263-0.032469842439457657i,0.033693429141552565
-2.4300144E-7,-2.4011999999999996E-7,4.802400000000006E-8,-2.2445453075431733E-19-9.230212668114124E-21i,-0.008298928911463787+0.016231722114131274i,-3.531343999669899E-4+3.2523779392966504E-4i,0.01825050380531609
-2.4492239999999997E-7,-1.7255314786222218E-7,1.8001464693146223E-7,2.2929827414917256E-4-0.023633396318279914i,-4.0948190818955224E-16-4.1750558803110204E-16i,-4.169744763663631E-16-4.2514497091947727E-16i,0.023634508652295154
-2.4492239999999997E-7,-2.4012E-7,2.4012E-7,0,0,0,0
-2.4396191999999995E-7,-1.7255314786222215E-7,1.8001464693146225E-7,0.0035048749140352714-0.024981712984137868i,-0.005268948909951082+0.005781868988791855i,-0.004955752858097695+0.0013667254174425448i,0.026908820904291864
